Time,TotalError,AverageError,ManTrackedCells,AutoTrackedCells
222,2932.0666248660623,7.031334831813099,417,1028
223,2869.7070924308964,6.816406395322795,421,1041
224,3070.117975369035,7.292441746719798,421,1043
225,3227.8460204769053,7.685347667802156,420,1047
226,3056.545974014382,7.277490414319957,420,1047
227,3161.1888082166092,7.562652651235907,418,1061
228,3181.6290950215957,7.5394054384398,422,1072
229,3151.714180389795,7.486256960545831,421,1072
230,3054.667361191443,7.221435842060149,423,1081
231,3018.9363429632817,7.153877589960383,422,1073
232,3145.7619536017137,7.436789488420127,423,1087
233,3202.3380021984735,7.534912946349349,425,1098
234,3204.1599253006075,7.574846159103091,423,1092
235,2786.8296799684235,6.5572463058080555,425,1093
236,2727.0059127656104,6.416484500624966,425,1089
237,2777.806427626302,6.505401469850825,427,1090
238,2730.2482906689265,6.409033546171189,426,1101
239,2893.958577138234,6.76158546060335,428,1115
240,2783.762552003743,6.504118112158278,428,1121
241,2625.156155428335,6.16233839302426,426,1140
242,2730.4031710549757,6.379446661343401,428,1142
243,2771.4271559175318,6.505697549102187,426,1146
244,2691.900528132681,6.274826405903685,429,1147
245,2512.061674430218,5.842003894023763,430,1160
246,2565.7855248295327,5.9808520392296805,429,1167
247,2711.359787374187,6.320185984555215,429,1169
248,2718.350821910985,6.292478754423576,432,1164
249,2878.3368921398815,6.6628168799534295,432,1158
250,2817.645280648908,6.522327038539139,432,1158
251,2888.6726784380357,6.686742311199157,432,1169
252,2960.9919338925156,6.854147995121564,432,1164
253,2982.4692704943227,6.903864052070191,432,1172
254,2864.6415391827836,6.661957067866939,430,1181
255,2872.6107292594543,6.618918731012568,434,1170
256,2859.992354841781,6.6357131202825546,431,1178
257,2895.268585746843,6.717560523774578,431,1173
258,2908.276037143605,6.747740225391196,431,1183
259,2823.548827268725,6.566392621555174,430,1185
260,2928.5232812827776,6.778989077043467,432,1188
261,3079.4627351144586,7.128385960913099,432,1186
262,3200.56817127067,7.4087226186821065,432,1189
263,3177.360507970591,7.355001175857849,432,1185
264,3163.128916335821,7.322057676703289,432,1191
265,3156.5916157237393,7.306925036397545,432,1186
266,2953.882275025969,6.885506468592003,429,1181
267,2612.6210252544306,6.090025699893777,429,1187
268,2592.7723862885086,6.04375847619699,429,1176
269,2719.2148333448813,6.338496115023033,429,1190
270,2838.595234272252,6.616772107860728,429,1193
271,3129.0682282416665,7.293865333896658,429,1205
272,2834.5383291131075,6.607315452478106,429,1209
273,2865.178390281316,6.6787375064832535,429,1215
274,2788.422631284913,6.499819653344786,429,1223
275,2815.631822190213,6.563244340769727,429,1225
276,2826.894247475546,6.604893101578378,428,1222
277,2927.27046704598,6.839416979079392,428,1208
278,2894.6630032078915,6.779070265123868,427,1202
279,2806.96332722323,6.543038058795408,429,1200
280,2845.1449921894173,6.63203960883314,429,1200
281,2821.1899098548147,6.576200256071829,429,1201
282,2730.973376223536,6.380778916410131,428,1209
283,2616.2460845936585,6.112724496714155,428,1223
284,2708.9329359006147,6.329282560515455,428,1221
285,2770.271870856402,6.472597829103743,428,1223
286,2497.1286341622117,5.917366431664009,422,1221
287,2480.872772885429,5.878845433377794,422,1218
288,2514.5200416826597,5.972731690457624,421,1224
289,2530.953444971191,6.011765902544396,421,1228
290,2535.975419909731,6.052447302887186,419,1230
291,2468.245640072575,5.83509607582169,423,1232
292,2421.2745526704502,5.724053316005793,423,1236
293,2468.7801477160338,5.850189923497711,422,1236
294,2598.023887989578,6.171078118740089,421,1225
295,2652.6428665999047,6.30081440997602,421,1235
296,2548.4642384956196,6.024738152471914,423,1238
297,2563.8755281788644,6.061171461415755,423,1247
298,2467.9202912141573,5.848152348848714,422,1253
299,2455.9176222284914,5.792258542991725,424,1254
300,2468.8314598038955,5.836480992444198,423,1255
301,2482.4119962930686,5.840969403042514,425,1258
302,2567.545996489857,6.055533010589285,424,1250
303,2623.1095026003572,6.15753404366281,426,1244
304,2412.1337767292334,5.662285860866745,426,1256
305,2448.416349028543,5.747456218376862,426,1251
306,2576.629505179605,6.091322707280391,423,1247
307,2554.2938973230507,6.010103287818943,425,1250
308,2532.6047809287443,5.959070072773516,425,1230
309,2610.6576632596552,6.14272391355213,425,1220
310,2610.732194874248,6.1573872520619055,424,1217
